Iteracion,Configuracion,Metodo_Seleccion,Metodo_Cruce,Metodo_Mutacion,Mejor_Fitness,Mejor_generacion
1,1,seleccion_por_torneo,cruce_1_punto,mutacion_intercambio_por_etapa,0.0006406420404446138,287
1,2,seleccion_por_torneo,cruce_1_punto,mutacion_intercambio_por_etapa,0.0006406435645514941,253
1,3,seleccion_por_torneo,cruce_1_punto,mutacion_intercambio_por_etapa,0.0006425645020532803,289
1,4,seleccion_por_torneo,cruce_1_punto,mutacion_intercambio_por_etapa,0.0006394421724309634,193
1,5,seleccion_por_torneo,cruce_1_punto,mutacion_intercambio_por_etapa,0.0006394132935863604,129
1,6,seleccion_por_torneo,cruce_1_punto,mutacion_intercambio_por_etapa,0.0006412628647667816,267
1,7,seleccion_por_torneo,cruce_1_punto,mutacion_intercambio_por_etapa,0.0006402396130914536,268
1,8,seleccion_por_torneo,cruce_1_punto,mutacion_intercambio_por_etapa,0.0006395945820105004,231
1,9,seleccion_por_torneo,cruce_1_punto,mutacion_intercambio_por_etapa,0.000643415446727339,283
1,10,seleccion_por_torneo,cruce_1_punto,mutacion_intercambio_por_etapa,0.0006392226306377645,42
2,1,seleccion_por_torneo,cruce_1_punto,mutacion_intercambio_por_etapa,0.0006380163768556313,224
2,2,seleccion_por_torneo,cruce_1_punto,mutacion_intercambio_por_etapa,0.0006451039729796674,300
2,3,seleccion_por_torneo,cruce_1_punto,mutacion_intercambio_por_etapa,0.0006419399352350684,223
2,4,seleccion_por_torneo,cruce_1_punto,mutacion_intercambio_por_etapa,0.0006438625443043443,178
2,5,seleccion_por_torneo,cruce_1_punto,mutacion_intercambio_por_etapa,0.0006419399352350684,186
2,6,seleccion_por_torneo,cruce_1_punto,mutacion_intercambio_por_etapa,0.0006439423658291998,163
2,7,seleccion_por_torneo,cruce_1_punto,mutacion_intercambio_por_etapa,0.000639523597598139,247
2,8,seleccion_por_torneo,cruce_1_punto,mutacion_intercambio_por_etapa,0.0006379756370683545,290
2,9,seleccion_por_torneo,cruce_1_punto,mutacion_intercambio_por_etapa,0.0006425643487303504,227
2,10,seleccion_por_torneo,cruce_1_punto,mutacion_intercambio_por_etapa,0.0006445588175553438,202
3,1,seleccion_por_torneo,cruce_1_punto,mutacion_intercambio_por_etapa,0.000639104570632866,276
3,2,seleccion_por_torneo,cruce_1_punto,mutacion_intercambio_por_etapa,0.0006432884507686306,292
3,3,seleccion_por_torneo,cruce_1_punto,mutacion_intercambio_por_etapa,0.0006423870834698116,162
3,4,seleccion_por_torneo,cruce_1_punto,mutacion_intercambio_por_etapa,0.0006404333353980981,236
3,5,seleccion_por_torneo,cruce_1_punto,mutacion_intercambio_por_etapa,0.0006404477072354748,244
3,6,seleccion_por_torneo,cruce_1_punto,mutacion_intercambio_por_etapa,0.0006411770243259242,247
3,7,seleccion_por_torneo,cruce_1_punto,mutacion_intercambio_por_etapa,0.0006403914056611683,224
