configuracion,cruce,mutacion,semilla,makespan,balance,energia,tamano_frente,score_agregado,tiempo
Uniforme + Swap,uniforme,swap,21,1556.2970074374825,278.1931485380192,624.5681439340427,100,2.597699204465533,17.889460563659668
Uniforme + Swap,uniforme,swap,6,1557.5743686641144,278.5565340643797,624.6098289424849,100,2.5996087201787774,17.955314874649048
Uniforme + Swap,uniforme,swap,19,1560.6195841741924,282.97154978978136,624.7052753771397,100,2.6159843990679956,17.973128080368042
Uniforme + Swap,uniforme,swap,22,1558.4270964543414,280.45957639833244,624.5825919083602,100,2.6063396484716503,17.99535059928894
Uniforme + Swap,uniforme,swap,10,1562.370307927077,282.00713364454765,624.5729225077168,100,2.6134559649325784,18.075464725494385
Uniforme + Swap,uniforme,swap,5,1547.74821093207,276.1626211020727,624.1684300779986,100,2.58608536163199,18.085858821868896
Uniforme + Swap,uniforme,swap,20,1563.3095893455163,282.84654531878294,624.6839377236131,100,2.616882237721482,18.119654417037964
Uniforme + Swap,uniforme,swap,13,1556.7237311373162,281.32176902077384,624.4112578970559,100,2.6081171783479844,18.147080898284912
Uniforme + Swap,uniforme,swap,2,1561.6455035365261,280.22346294057576,624.7441701475012,100,2.6073926332094697,31.08832621574402
Uniforme + Swap,uniforme,swap,12,1560.680641478648,283.0138568502222,624.4188032110312,100,2.615746705303443,31.133830070495605
Uniforme + Swap,uniforme,swap,1,1563.740327290936,279.7071617360573,624.9416057164482,100,2.6070010918843947,31.19357991218567
Uniforme + Swap,uniforme,swap,0,1566.4478556869603,282.7247636327381,625.0257262706604,100,2.6185337012916454,31.23582410812378
Uniforme + Swap,uniforme,swap,9,1563.531567011702,280.8287291688013,624.8533347861999,100,2.610509168524998,31.252331495285034
Uniforme + Swap,uniforme,swap,14,1557.6687029244013,277.5655421335085,624.5711578000069,100,2.596297336383429,31.259517669677734
Uniforme + Swap,uniforme,swap,16,1561.0288817240573,282.5412611630313,624.6017436500058,100,2.614606849953094,31.427472591400146
Uniforme + Swap,uniforme,swap,15,1559.062472024413,278.3697471494122,624.7056216332406,100,2.599866995510115,31.43425226211548
Uniforme + Swap,uniforme,swap,17,1558.46756574538,283.06583884400607,624.4114802562079,100,2.614802979385388,31.442561864852905
Uniforme + Swap,uniforme,swap,3,1552.621232606681,280.89652043454765,624.1865762267189,100,2.6043274599804787,31.48540949821472
Uniforme + Swap,uniforme,swap,8,1554.8890255585472,279.79335116872994,624.3541984092278,100,2.6020235858310796,31.48604989051819
Uniforme + Swap,uniforme,swap,18,1554.365336063131,277.5326515954744,624.5377242056522,100,2.5944882555483644,31.53834104537964
Uniforme + Swap,uniforme,swap,7,1559.0489024116343,279.8092831507279,624.5984698693796,100,2.604505590093072,31.573482513427734
Uniforme + Swap,uniforme,swap,4,1562.7773254104281,277.1640064133755,625.0042792864969,100,2.5981319402066996,31.578824520111084
Uniforme + Swap,uniforme,swap,23,1560.8520793213497,279.7035644985624,624.7663220420296,100,2.6052945718587823,31.658302307128906
Uniforme + Swap,uniforme,swap,11,1562.655167753509,283.3416071234722,624.6754046299036,100,2.6181930428072384,31.701422929763794
Uniforme + Swap,uniforme,swap,26,1557.2041763291415,276.2339769987264,624.7233556263084,100,2.591843948102671,21.99422001838684
Uniforme + Swap,uniforme,swap,25,1559.759541291514,277.40156196362756,624.9219562038224,100,2.5972972955775955,22.071550369262695
Uniforme + Swap,uniforme,swap,24,1558.6979100749204,282.50163030500175,624.4613845053312,100,2.6131087482046063,22.24613308906555
Uniforme + Swap,uniforme,swap,27,1560.993208602583,283.5065413295914,624.572778843952,100,2.617765235653194,22.160247087478638
Uniforme + Swap,uniforme,swap,28,1563.7048845716304,281.58575729790476,624.8346045128437,100,2.6130924968686076,22.20291256904602
Uniforme + Swap,uniforme,swap,29,1558.9571277289863,280.3134003968471,624.651627592868,100,2.606216033177128,22.203197956085205
Uniforme + Insert,uniforme,insert,1,1557.9403380881374,279.8040700941549,624.5073989046156,100,2.603803829697845,22.176780700683594
Uniforme + Insert,uniforme,insert,0,1566.7337472511322,284.74853242020237,624.7485302406913,100,2.625026548703419,22.40038537979126
Uniforme + Insert,uniforme,insert,19,1578.0782955140573,280.7554704814987,625.8352109408961,100,2.6189410173728285,20.777424812316895
Uniforme + Insert,uniforme,insert,18,1561.0704493219105,283.5137156636267,624.5706088169612,100,2.6178246704210846,20.86708378791809
Uniforme + Insert,uniforme,insert,24,1561.1867527173258,278.9242199994319,624.9336428509595,100,2.603103123286711,20.72408390045166
Uniforme + Insert,uniforme,insert,21,1561.4681050174913,283.1562895028173,624.5816345642311,100,2.6168478288003714,20.972291231155396
Uniforme + Insert,uniforme,insert,20,1566.1763506914476,285.29989140882367,624.8375690656678,100,2.626712912040376,21.01196312904358
Uniforme + Insert,uniforme,insert,23,1567.0288817240573,281.7727286843641,625.0179718997038,100,2.6156396868094856,21.01605200767517
Uniforme + Insert,uniforme,insert,22,1579.5745120281365,282.1206093660831,625.8610550918376,100,2.6242765087941136,21.066580772399902
Uniforme + Insert,uniforme,insert,25,1560.3309774507577,285.4044599831783,624.4253000893144,100,2.6235498316540413,21.038068294525146
Uniforme + Insert,uniforme,insert,2,1561.7931012074241,281.36364072824904,624.7068098362419,100,2.611213652797269,34.18367409706116
