ID,Makespan,Balance,Energia
1,1554.53,261.03,628.06
2,1553.12,295.42,622.58
3,1553.72,319.21,622.00
4,1553.90,261.69,627.61
5,1553.37,261.76,627.32
6,1553.71,311.66,622.14
7,1553.72,315.20,622.07
8,1553.12,278.70,623.69
9,1553.37,261.82,627.04
10,1553.29,262.40,626.74
11,1553.12,281.75,623.36
12,1553.12,262.97,626.56
13,1553.12,300.63,622.32
14,1553.12,261.10,627.71
15,1553.12,284.47,623.22
16,1553.12,304.39,622.28
17,1553.12,279.71,623.50
18,1553.12,263.04,626.30
19,1553.12,263.81,625.93
20,1553.12,265.43,625.50
21,1553.12,290.78,622.82
22,1553.12,286.01,623.03
23,1553.12,287.74,622.94
24,1553.12,273.85,624.20
25,1553.12,274.80,624.05
26,1553.12,291.24,622.79
27,1553.12,270.77,624.60
28,1553.12,269.40,624.78
29,1553.12,306.36,622.18
30,1553.12,268.77,625.04
31,1553.12,268.90,624.81
32,1553.12,273.37,624.23
33,1553.12,266.79,625.21
34,1554.53,261.73,627.57
35,1553.12,292.94,622.62
36,1553.71,312.66,622.13
37,1553.71,300.18,622.39
38,1553.12,280.19,623.47
39,1553.12,261.89,626.76
40,1553.12,263.75,626.19
41,1553.12,281.28,623.39
42,1553.71,309.00,622.17
43,1553.12,285.54,623.06
44,1553.12,297.25,622.54
45,1553.12,265.37,625.76
46,1553.12,288.21,622.91
47,1553.12,265.94,625.47
48,1553.12,271.26,624.57
49,1553.12,298.64,622.41
50,1553.12,294.97,622.61
51,1553.12,278.22,623.73
52,1553.12,276.42,623.83
53,1553.12,272.71,624.38
54,1553.71,261.80,627.26
55,1553.12,275.29,624.01
56,1553.12,268.08,625.13
57,1553.12,263.55,626.27
58,1553.12,275.94,623.86
59,1553.12,292.48,622.65
60,1553.12,284.94,623.19
61,1553.12,261.62,627.68
62,1553.12,268.27,625.07
63,1553.12,296.80,622.57
64,1553.71,310.48,622.14
65,1553.12,264.32,625.90
66,1553.12,271.51,624.44
67,1553.12,298.19,622.44
68,1553.12,272.01,624.41
69,1553.12,267.30,625.18
