ID,Makespan,Balance,Energia
1,1549.86,319.04,621.76
2,1549.86,261.03,627.75
3,1549.86,270.77,624.38
4,1549.86,304.39,622.06
5,1549.86,300.63,622.10
6,1549.86,265.37,625.54
7,1549.86,310.48,621.88
8,1549.86,306.80,621.93
9,1549.86,266.73,625.25
10,1549.86,317.47,621.80
11,1549.86,262.97,626.34
12,1549.86,284.47,623.01
13,1549.86,281.75,623.14
14,1549.86,313.86,621.84
15,1549.86,261.10,627.49
16,1549.86,261.89,626.55
17,1549.86,263.04,626.09
18,1549.86,263.81,625.71
19,1549.86,265.43,625.28
20,1549.86,266.79,624.99
21,1549.86,290.78,622.60
22,1549.86,288.21,622.69
23,1549.86,268.77,624.82
24,1549.86,268.90,624.60
25,1549.86,263.75,625.97
26,1549.86,261.82,626.80
27,1549.86,278.70,623.48
28,1549.86,279.71,623.28
29,1549.86,269.40,624.56
30,1549.86,294.97,622.39
31,1549.86,292.94,622.40
32,1549.86,262.40,626.51
33,1549.86,278.22,623.51
34,1549.86,276.42,623.61
35,1549.86,272.71,624.17
36,1549.86,287.74,622.73
37,1549.86,286.01,622.81
38,1549.86,273.85,623.98
39,1549.86,274.80,623.83
40,1549.86,273.36,624.02
41,1549.86,275.29,623.80
42,1549.86,275.94,623.65
43,1549.86,264.32,625.68
44,1549.86,261.80,627.00
45,1549.86,291.24,622.57
46,1549.86,292.48,622.43
47,1549.86,261.62,627.46
48,1549.86,271.26,624.35
49,1549.86,271.51,624.23
50,1549.86,300.18,622.13
51,1549.86,298.64,622.19
52,1549.86,261.76,627.08
53,1549.86,261.73,627.26
54,1549.86,284.94,622.97
55,1549.86,285.54,622.85
56,1549.86,306.03,622.02
57,1549.86,296.80,622.36
58,1549.86,295.42,622.36
59,1549.86,312.09,621.85
60,1549.86,268.08,624.91
61,1549.86,281.28,623.18
62,1549.86,280.19,623.25
63,1549.86,263.55,626.05
64,1549.86,297.25,622.32
65,1549.86,304.83,622.02
66,1549.86,298.19,622.22
67,1549.86,310.91,621.85
68,1549.86,317.89,621.77
69,1549.86,265.94,625.25
70,1549.86,267.30,624.96
71,1549.86,261.69,627.34
72,1549.86,268.27,624.86
73,1549.86,272.01,624.19
74,1549.86,306.36,621.96
