Iteracion,Configuracion,Metodo_Seleccion,Metodo_Cruce,Metodo_Mutacion,Mejor_Fitness,Mejor_generacion,Promedios_20p
1,1,seleccion_por_torneo,cruce_1_punto,mutacion_intercambio_por_etapa,0.0006371407321618586,263,0.0006370419557149636
1,2,seleccion_por_torneo,cruce_1_punto,mutacion_intercambio_por_etapa,0.0006443519638760446,231,0.0006443519638760444
1,3,seleccion_por_torneo,cruce_1_punto,mutacion_intercambio_por_etapa,0.0006416664052110002,226,0.0006416664052110004
1,4,seleccion_por_torneo,cruce_1_punto,mutacion_intercambio_por_etapa,0.0006407611596012131,266,0.0006407598309261966
1,5,seleccion_por_torneo,cruce_1_punto,mutacion_intercambio_por_etapa,0.0006406138785917559,159,0.0006406138785917556
1,6,seleccion_por_torneo,cruce_1_punto,mutacion_intercambio_por_etapa,0.0006437485585446595,272,0.0006427319683883151
1,7,seleccion_por_torneo,cruce_1_punto,mutacion_intercambio_por_etapa,0.00063454323723151,154,0.0006345432372315103
1,8,seleccion_por_torneo,cruce_1_punto,mutacion_intercambio_por_etapa,0.000640574686759809,234,0.0006405746867598089
1,9,seleccion_por_torneo,cruce_1_punto,mutacion_intercambio_por_etapa,0.0006459465191071863,293,0.0006459327591502101
1,10,seleccion_por_torneo,cruce_1_punto,mutacion_intercambio_por_etapa,0.00064089587067111,137,0.0006408958706711099
2,1,seleccion_por_torneo,cruce_1_punto,mutacion_intercambio_por_etapa,0.0006420594086751867,293,0.0006415222662991602
2,2,seleccion_por_torneo,cruce_1_punto,mutacion_intercambio_por_etapa,0.0006439367155394707,297,0.0006438248322883525
2,3,seleccion_por_torneo,cruce_1_punto,mutacion_intercambio_por_etapa,0.0006395722525135503,279,0.0006392972683371097
2,4,seleccion_por_torneo,cruce_1_punto,mutacion_intercambio_por_etapa,0.0006386324230599077,184,0.0006386324230599076
2,5,seleccion_por_torneo,cruce_1_punto,mutacion_intercambio_por_etapa,0.0006443543379933654,228,0.0006443543379933652
2,6,seleccion_por_torneo,cruce_1_punto,mutacion_intercambio_por_etapa,0.0006398149197089986,267,0.0006398033842745292
2,7,seleccion_por_torneo,cruce_1_punto,mutacion_intercambio_por_etapa,0.0006442175361049055,277,0.0006434041909441734
2,8,seleccion_por_torneo,cruce_1_punto,mutacion_intercambio_por_etapa,0.0006408909515657632,263,0.0006405901269353445
2,9,seleccion_por_torneo,cruce_1_punto,mutacion_intercambio_por_etapa,0.0006389848121166251,296,0.0006389436491876349
2,10,seleccion_por_torneo,cruce_1_punto,mutacion_intercambio_por_etapa,0.0006413335888930311,187,0.0006413335888930312
3,1,seleccion_por_torneo,cruce_1_punto,mutacion_intercambio_por_etapa,0.000639193911891327,297,0.0006355182871359618
3,2,seleccion_por_torneo,cruce_1_punto,mutacion_intercambio_por_etapa,0.0006398873968617913,292,0.0006391679465913495
3,3,seleccion_por_torneo,cruce_1_punto,mutacion_intercambio_por_etapa,0.0006407599943219817,300,0.0006401566996384909
3,4,seleccion_por_torneo,cruce_1_punto,mutacion_intercambio_por_etapa,0.0006359957319155017,298,0.0006348954369294476
3,5,seleccion_por_torneo,cruce_1_punto,mutacion_intercambio_por_etapa,0.0006406949429815436,122,0.0006406949429815436
3,6,seleccion_por_torneo,cruce_1_punto,mutacion_intercambio_por_etapa,0.0006438004945345163,288,0.0006437783101109003
3,7,seleccion_por_torneo,cruce_1_punto,mutacion_intercambio_por_etapa,0.0006394470816715986,292,0.0006393812332006289
3,8,seleccion_por_torneo,cruce_1_punto,mutacion_intercambio_por_etapa,0.0006427036165218265,233,0.0006427036165218265
3,9,seleccion_por_torneo,cruce_1_punto,mutacion_intercambio_por_etapa,0.0006442915047049693,300,0.0006435540791501332
3,10,seleccion_por_torneo,cruce_1_punto,mutacion_intercambio_por_etapa,0.0006414801112916709,185,0.0006414801112916708
4,1,seleccion_por_torneo,cruce_1_punto,mutacion_intercambio_por_etapa,0.0006406918773647846,291,0.0006406270629374451
4,2,seleccion_por_torneo,cruce_1_punto,mutacion_intercambio_por_etapa,0.000639729982737088,212,0.0006397299827370879
4,3,seleccion_por_torneo,cruce_1_punto,mutacion_intercambio_por_etapa,0.0006404477072354748,222,0.0006404477072354747
4,4,seleccion_por_torneo,cruce_1_punto,mutacion_intercambio_por_etapa,0.0006413288344382954,169,0.0006413288344382952
4,5,seleccion_por_torneo,cruce_1_punto,mutacion_intercambio_por_etapa,0.0006449075412149402,133,0.0006449075412149403
4,6,seleccion_por_torneo,cruce_1_punto,mutacion_intercambio_por_etapa,0.0006426228438493856,172,0.0006426228438493858
4,7,seleccion_por_torneo,cruce_1_punto,mutacion_intercambio_por_etapa,0.0006416846793111138,184,0.0006416846793111137
4,8,seleccion_por_torneo,cruce_1_punto,mutacion_intercambio_por_etapa,0.0006385414952977685,284,0.0006384430729024533
4,9,seleccion_por_torneo,cruce_1_punto,mutacion_intercambio_por_etapa,0.0006409160288994959,263,0.0006408846138421769
4,10,seleccion_por_torneo,cruce_1_punto,mutacion_intercambio_por_etapa,0.0006351980267413176,22,0.0006351980267413178
5,1,seleccion_por_torneo,cruce_1_punto,mutacion_intercambio_por_etapa,0.0006369154294867883,264,0.0006368037993216361
5,2,seleccion_por_torneo,cruce_1_punto,mutacion_intercambio_por_etapa,0.0006478118869703526,270,0.0006468680434123397
5,3,seleccion_por_torneo,cruce_1_punto,mutacion_intercambio_por_etapa,0.0006413196812764389,291,0.0006411091051859029
5,4,seleccion_por_torneo,cruce_1_punto,mutacion_intercambio_por_etapa,0.000638912519746632,267,0.0006387631106660403
5,5,seleccion_por_torneo,cruce_1_punto,mutacion_intercambio_por_etapa,0.0006417368458845929,163,0.0006417368458845931
5,6,seleccion_por_torneo,cruce_1_punto,mutacion_intercambio_por_etapa,0.0006415684684372495,291,0.0006415365764806648
5,7,seleccion_por_torneo,cruce_1_punto,mutacion_intercambio_por_etapa,0.0006396284101379637,228,0.0006396284101379636
5,8,seleccion_por_torneo,cruce_1_punto,mutacion_intercambio_por_etapa,0.0006364435525097126,212,0.0006364435525097125
5,9,seleccion_por_torneo,cruce_1_punto,mutacion_intercambio_por_etapa,0.0006452386626903035,281,0.0006449858681425174
5,10,seleccion_por_torneo,cruce_1_punto,mutacion_intercambio_por_etapa,0.0006429626340321666,149,0.0006429626340321664
6,1,seleccion_por_torneo,cruce_1_punto,mutacion_intercambio_por_etapa,0.0006411224250916829,280,0.0006411137835007643
6,2,seleccion_por_torneo,cruce_1_punto,mutacion_intercambio_por_etapa,0.000641279784081801,291,0.0006409259575522137
6,3,seleccion_por_torneo,cruce_1_punto,mutacion_intercambio_por_etapa,0.0006422852803271696,189,0.0006422852803271696
6,4,seleccion_por_torneo,cruce_1_punto,mutacion_intercambio_por_etapa,0.0006421200568052303,238,0.0006421200568052303
6,5,seleccion_por_torneo,cruce_1_punto,mutacion_intercambio_por_etapa,0.0006422671344253693,289,0.0006420959864282208
6,6,seleccion_por_torneo,cruce_1_punto,mutacion_intercambio_por_etapa,0.0006413705587712074,167,0.0006413705587712072
6,7,seleccion_por_torneo,cruce_1_punto,mutacion_intercambio_por_etapa,0.0006388956505722367,244,0.0006388855053240852
6,8,seleccion_por_torneo,cruce_1_punto,mutacion_intercambio_por_etapa,0.0006436124485868881,291,0.0006426757691534348
6,9,seleccion_por_torneo,cruce_1_punto,mutacion_intercambio_por_etapa,0.0006379781944960033,218,0.0006379781944960032
6,10,seleccion_por_torneo,cruce_1_punto,mutacion_intercambio_por_etapa,0.0006449274164676181,289,0.0006448729613688488
7,1,seleccion_por_torneo,cruce_1_punto,mutacion_intercambio_por_etapa,0.0006386769868460409,251,0.000638664024850203
7,2,seleccion_por_torneo,cruce_1_punto,mutacion_intercambio_por_etapa,0.0006435063167681276,181,0.0006435063167681276
7,3,seleccion_por_torneo,cruce_1_punto,mutacion_intercambio_por_etapa,0.0006415289904690612,168,0.0006415289904690613
7,4,seleccion_por_torneo,cruce_1_punto,mutacion_intercambio_por_etapa,0.0006437429999564574,232,0.0006437429999564575
7,5,seleccion_por_torneo,cruce_1_punto,mutacion_intercambio_por_etapa,0.0006423346914311639,297,0.0006423048820239848
7,6,seleccion_por_torneo,cruce_1_punto,mutacion_intercambio_por_etapa,0.0006468813980310343,160,0.0006468813980310343
7,7,seleccion_por_torneo,cruce_1_punto,mutacion_intercambio_por_etapa,0.0006427282675624608,252,0.0006426790499364817
7,8,seleccion_por_torneo,cruce_1_punto,mutacion_intercambio_por_etapa,0.0006400965331442635,277,0.0006398899036068259
7,9,seleccion_por_torneo,cruce_1_punto,mutacion_intercambio_por_etapa,0.0006411711209414612,270,0.0006409729729603413
7,10,seleccion_por_torneo,cruce_1_punto,mutacion_intercambio_por_etapa,0.0006437772557821346,244,0.0006437652490306943
8,1,seleccion_por_torneo,cruce_1_punto,mutacion_intercambio_por_etapa,0.0006409367420865325,202,0.0006409367420865325
8,2,seleccion_por_torneo,cruce_1_punto,mutacion_intercambio_por_etapa,0.0006439999651785787,290,0.0006429064801850688
8,3,seleccion_por_torneo,cruce_1_punto,mutacion_intercambio_por_etapa,0.0006441002858155141,216,0.000644100285815514
8,4,seleccion_por_torneo,cruce_1_punto,mutacion_intercambio_por_etapa,0.0006436904236771946,298,0.0006429255845026229
8,5,seleccion_por_torneo,cruce_1_punto,mutacion_intercambio_por_etapa,0.0006406534359976558,277,0.0006399362975438284
8,6,seleccion_por_torneo,cruce_1_punto,mutacion_intercambio_por_etapa,0.0006433811066045121,242,0.0006433801802117297
8,7,seleccion_por_torneo,cruce_1_punto,mutacion_intercambio_por_etapa,0.0006412421331734729,120,0.0006412421331734729
8,8,seleccion_por_torneo,cruce_1_punto,mutacion_intercambio_por_etapa,0.0006427503988196612,134,0.0006427503988196613
8,9,seleccion_por_torneo,cruce_1_punto,mutacion_intercambio_por_etapa,0.000642734239455561,284,0.0006426258097253552
8,10,seleccion_por_torneo,cruce_1_punto,mutacion_intercambio_por_etapa,0.0006440558944100272,298,0.0006434098122460625
1,1,seleccion_por_torneo,cruce_1_punto,mutacion_aleatoria,0.0006325182340817538,201,0.0006325182340817538
1,2,seleccion_por_torneo,cruce_1_punto,mutacion_aleatoria,0.0006337920751320102,159,0.0006337920751320104
1,3,seleccion_por_torneo,cruce_1_punto,mutacion_aleatoria,0.0006308811029458423,285,0.000630806253528296
1,4,seleccion_por_torneo,cruce_1_punto,mutacion_aleatoria,0.0006329224609898674,188,0.0006329224609898673
1,5,seleccion_por_torneo,cruce_1_punto,mutacion_aleatoria,0.0006382489368885273,231,0.0006382489368885273
1,6,seleccion_por_torneo,cruce_1_punto,mutacion_aleatoria,0.0006336955496614802,162,0.00063369554966148
1,7,seleccion_por_torneo,cruce_1_punto,mutacion_aleatoria,0.0006312351648423701,298,0.0006310395963422831
1,8,seleccion_por_torneo,cruce_1_punto,mutacion_aleatoria,0.0006335764840427086,299,0.0006332821422707917
1,9,seleccion_por_torneo,cruce_1_punto,mutacion_aleatoria,0.0006369363691724284,191,0.0006369363691724281
1,10,seleccion_por_torneo,cruce_1_punto,mutacion_aleatoria,0.0006397011643363083,232,0.0006397011643363083
2,1,seleccion_por_torneo,cruce_1_punto,mutacion_aleatoria,0.000630369881120247,192,0.0006303698811202468
2,2,seleccion_por_torneo,cruce_1_punto,mutacion_aleatoria,0.0006372419529484044,267,0.00063686912022736
2,3,seleccion_por_torneo,cruce_1_punto,mutacion_aleatoria,0.0006312843072861995,154,0.0006312843072861994
2,4,seleccion_por_torneo,cruce_1_punto,mutacion_aleatoria,0.0006322492812488715,160,0.0006322492812488716
2,5,seleccion_por_torneo,cruce_1_punto,mutacion_aleatoria,0.000633487159551393,283,0.0006332152476140362
2,6,seleccion_por_torneo,cruce_1_punto,mutacion_aleatoria,0.0006345448869214969,179,0.0006345448869214969
2,7,seleccion_por_torneo,cruce_1_punto,mutacion_aleatoria,0.0006342102557756217,139,0.0006342102557756215
2,8,seleccion_por_torneo,cruce_1_punto,mutacion_aleatoria,0.0006357214975731474,222,0.0006357214975731475
2,9,seleccion_por_torneo,cruce_1_punto,mutacion_aleatoria,0.0006356082101051915,229,0.0006356082101051915
2,10,seleccion_por_torneo,cruce_1_punto,mutacion_aleatoria,0.0006334444858925257,197,0.0006334444858925257
3,1,seleccion_por_torneo,cruce_1_punto,mutacion_aleatoria,0.000633745682255199,243,0.0006336829716966376
3,2,seleccion_por_torneo,cruce_1_punto,mutacion_aleatoria,0.0006352301354267491,281,0.000633261389945455
3,3,seleccion_por_torneo,cruce_1_punto,mutacion_aleatoria,0.00063749655234768,47,0.0006374965523476803
3,4,seleccion_por_torneo,cruce_1_punto,mutacion_aleatoria,0.0006334942167724207,16,0.0006334942167724206
3,5,seleccion_por_torneo,cruce_1_punto,mutacion_aleatoria,0.0006357835422440854,108,0.0006357835422440854
3,6,seleccion_por_torneo,cruce_1_punto,mutacion_aleatoria,0.0006350890222031881,178,0.0006350890222031881
3,7,seleccion_por_torneo,cruce_1_punto,mutacion_aleatoria,0.000636500920194603,134,0.0006365009201946033
3,8,seleccion_por_torneo,cruce_1_punto,mutacion_aleatoria,0.0006414621556198268,234,0.0006414621556198267
3,9,seleccion_por_torneo,cruce_1_punto,mutacion_aleatoria,0.0006321546918303397,233,0.0006321546918303396
3,10,seleccion_por_torneo,cruce_1_punto,mutacion_aleatoria,0.0006379805076215527,250,0.0006379040026785096
4,1,seleccion_por_torneo,cruce_1_punto,mutacion_aleatoria,0.0006295746273356301,257,0.0006295083843153303
4,2,seleccion_por_torneo,cruce_1_punto,mutacion_aleatoria,0.0006367212291132578,222,0.0006367212291132577
4,3,seleccion_por_torneo,cruce_1_punto,mutacion_aleatoria,0.00063595579570446,128,0.00063595579570446
4,4,seleccion_por_torneo,cruce_1_punto,mutacion_aleatoria,0.0006365008815365044,210,0.0006365008815365042
4,5,seleccion_por_torneo,cruce_1_punto,mutacion_aleatoria,0.0006352127125691495,171,0.0006352127125691498
4,6,seleccion_por_torneo,cruce_1_punto,mutacion_aleatoria,0.0006366394242447369,238,0.0006366394242447369
4,7,seleccion_por_torneo,cruce_1_punto,mutacion_aleatoria,0.0006314869507685285,117,0.0006314869507685285
4,8,seleccion_por_torneo,cruce_1_punto,mutacion_aleatoria,0.0006363173365137945,108,0.0006363173365137945
4,9,seleccion_por_torneo,cruce_1_punto,mutacion_aleatoria,0.0006318677779306043,167,0.0006318677779306043
4,10,seleccion_por_torneo,cruce_1_punto,mutacion_aleatoria,0.0006343854890640991,99,0.0006343854890640989
5,1,seleccion_por_torneo,cruce_1_punto,mutacion_aleatoria,0.000630981400039015,101,0.0006309814000390152
5,2,seleccion_por_torneo,cruce_1_punto,mutacion_aleatoria,0.0006364102141142653,261,0.0006357388271182547
5,3,seleccion_por_torneo,cruce_1_punto,mutacion_aleatoria,0.0006353893726331179,267,0.0006346856422742612
5,4,seleccion_por_torneo,cruce_1_punto,mutacion_aleatoria,0.0006352139658353258,156,0.0006352139658353257
5,5,seleccion_por_torneo,cruce_1_punto,mutacion_aleatoria,0.0006359209237570045,84,0.0006359209237570046
5,6,seleccion_por_torneo,cruce_1_punto,mutacion_aleatoria,0.0006314616988936494,233,0.0006314616988936495
5,7,seleccion_por_torneo,cruce_1_punto,mutacion_aleatoria,0.0006353988215321647,221,0.0006353988215321647
5,8,seleccion_por_torneo,cruce_1_punto,mutacion_aleatoria,0.0006288457492792013,49,0.0006288457492792016
5,9,seleccion_por_torneo,cruce_1_punto,mutacion_aleatoria,0.0006324477553919281,198,0.0006324477553919283
5,10,seleccion_por_torneo,cruce_1_punto,mutacion_aleatoria,0.0006345172389243903,180,0.0006345172389243901
6,1,seleccion_por_torneo,cruce_1_punto,mutacion_aleatoria,0.0006316904569894782,26,0.0006316904569894782
6,2,seleccion_por_torneo,cruce_1_punto,mutacion_aleatoria,0.000635322206633018,271,0.0006340579203505415
6,3,seleccion_por_torneo,cruce_1_punto,mutacion_aleatoria,0.000633769590117909,116,0.0006337695901179092
6,4,seleccion_por_torneo,cruce_1_punto,mutacion_aleatoria,0.0006353871576089573,283,0.0006352168471219163
6,5,seleccion_por_torneo,cruce_1_punto,mutacion_aleatoria,0.0006361456397871688,154,0.0006361456397871691
